CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
06a48e8b6ffd   consumidor_mongo2   7.96%     29.43MiB / 3.823GiB   0.75%     27.5kB / 28.5kB   0B / 0B           8
93293ebba40a   consumidor_redis2   6.71%     18.86MiB / 3.823GiB   0.48%     26.4kB / 31.9kB   610kB / 0B        2
3de1edace4a4   consumidor_redis3   10.58%    18.87MiB / 3.823GiB   0.48%     27kB / 31.8kB     0B / 0B           2
f6c6dc9972aa   consumidor_mongo1   7.54%     29.43MiB / 3.823GiB   0.75%     28.6kB / 29.3kB   2.95MB / 0B       8
09d2e9763551   consumidor_redis1   7.38%     18.86MiB / 3.823GiB   0.48%     26.6kB / 31.2kB   3.53MB / 0B       2
796aaa473809   consumidor_mongo4   6.31%     29.44MiB / 3.823GiB   0.75%     29.8kB / 30.2kB   3.01MB / 0B       9
9e6d2bc85166   consumidor_redis5   15.96%    18.85MiB / 3.823GiB   0.48%     24.3kB / 26.7kB   0B / 0B           2
77d9cf1a7fc4   consumidor_redis6   11.38%    18.87MiB / 3.823GiB   0.48%     24.8kB / 26.8kB   0B / 0B           2
9831c1646d9a   kafka_ui            135.65%   60.62MiB / 3.823GiB   1.55%     3.55kB / 126B     7.98MB / 65.5kB   21
b6fb06b499b0   consumidor_mongo6   5.91%     29.43MiB / 3.823GiB   0.75%     28.3kB / 28.4kB   328kB / 0B        8
ac257e676ed0   consumidor_mongo5   4.61%     29.42MiB / 3.823GiB   0.75%     29.1kB / 29.9kB   598kB / 0B        8
b563bdb719bf   mongodb             91.73%    132.4MiB / 3.823GiB   3.38%     27.9kB / 36.3kB   254kB / 0B        62
ec88417ccd06   redis               6.22%     8.352MiB / 3.823GiB   0.21%     40.2kB / 21.3kB   77.8kB / 0B       6
b5344535f548   kafka               143.85%   395.5MiB / 3.823GiB   10.10%    338kB / 266kB     11.4MB / 238kB    110
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
f0298453745f   productor           34.66%    606.5MiB / 3.823GiB   15.49%    3.07kB / 823B     2.22MB / 0B      2
e51d2676a24c   cliente_atm         0.03%     23.61MiB / 3.823GiB   0.60%     9.79kB / 9.99kB   5.65MB / 0B      1
8b029feb43c6   sectorizador        4.42%     23.24MiB / 3.823GiB   0.59%     20.6kB / 28.6kB   5.95MB / 0B      4
96cc78a6160c   consumidor_redis4   29.17%    19.19MiB / 3.823GiB   0.49%     31.7kB / 37kB     0B / 0B          7
