CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
cd6bfe45793d   kafka_ui            0.56%     238.6MiB / 3.823GiB   6.10%     33.4kB / 4.03kB   0B / 168kB   35
0802920a6c28   redis               0.75%     8.324MiB / 3.823GiB   0.21%     44.7kB / 18.4kB   0B / 0B      6
f29aad2c7381   mongodb             0.85%     83.41MiB / 3.823GiB   2.13%     24.9kB / 17.7kB   0B / 0B      36
f790aa9a62cf   kafka               355.57%   521.4MiB / 3.823GiB   13.32%    78.4kB / 96.3kB   0B / 238kB   148
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
860517acb542   productor           19.09%    211.3MiB / 3.823GiB   5.40%     3.83kB / 206kB    0B / 0B      2
40a7d96ff35d   cliente_historico   0.18%     25.61MiB / 3.823GiB   0.65%     9.68kB / 4.45kB   0B / 0B      4
886b94cdcddd   consumidor_redis1   25.59%    19.84MiB / 3.823GiB   0.51%     277kB / 304kB     0B / 0B      2
ed31fdfa6e8f   consumidor_mongo1   24.25%    30.86MiB / 3.823GiB   0.79%     264kB / 119kB     0B / 0B      8
48e73dd4ab5d   sectorizador        0.00%     23.25MiB / 3.823GiB   0.59%     13.5kB / 17.9kB   0B / 0B      4
c46f710821e4   cliente_atm         0.01%     23.59MiB / 3.823GiB   0.60%     9.23kB / 12.2kB   0B / 0B      1
cd6bfe45793d   kafka_ui            0.12%     238.6MiB / 3.823GiB   6.10%     33.4kB / 4.03kB   0B / 172kB   35
0802920a6c28   redis               8.33%     8.609MiB / 3.823GiB   0.22%     295kB / 57kB      0B / 0B      6
f29aad2c7381   mongodb             11.90%    83.42MiB / 3.823GiB   2.13%     91.8kB / 38.3kB   0B / 0B      36
f790aa9a62cf   kafka               312.03%   467MiB / 3.823GiB     11.93%    279kB / 494kB     0B / 238kB   150
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
860517acb542   productor           0.48%     211.3MiB / 3.823GiB   5.40%     3.83kB / 206kB    0B / 0B      2
40a7d96ff35d   cliente_historico   0.09%     25.61MiB / 3.823GiB   0.65%     9.68kB / 4.45kB   0B / 0B      4
886b94cdcddd   consumidor_redis1   0.68%     19.52MiB / 3.823GiB   0.50%     302kB / 472kB     0B / 0B      2
ed31fdfa6e8f   consumidor_mongo1   0.84%     30.98MiB / 3.823GiB   0.79%     336kB / 374kB     0B / 0B      8
48e73dd4ab5d   sectorizador        7.96%     23.45MiB / 3.823GiB   0.60%     83.4kB / 87.3kB   0B / 0B      4
c46f710821e4   cliente_atm         0.02%     23.59MiB / 3.823GiB   0.60%     10.5kB / 14.5kB   0B / 0B      1
cd6bfe45793d   kafka_ui            0.14%     238.6MiB / 3.823GiB   6.10%     33.4kB / 4.03kB   0B / 172kB   35
0802920a6c28   redis               2.49%     9.227MiB / 3.823GiB   0.24%     535kB / 154kB     0B / 0B      6
f29aad2c7381   mongodb             115.97%   132.6MiB / 3.823GiB   3.39%     347kB / 110kB     0B / 0B      51
f790aa9a62cf   kafka               243.55%   425MiB / 3.823GiB     10.86%    282kB / 497kB     0B / 238kB   129
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
860517acb542   productor           19.46%    211.3MiB / 3.823GiB   5.40%     4.95kB / 403kB    0B / 0B      2
40a7d96ff35d   cliente_historico   0.21%     25.61MiB / 3.823GiB   0.65%     10.4kB / 4.7kB    0B / 0B      4
886b94cdcddd   consumidor_redis1   0.40%     19.52MiB / 3.823GiB   0.50%     304kB / 473kB     0B / 0B      2
ed31fdfa6e8f   consumidor_mongo1   9.70%     30.98MiB / 3.823GiB   0.79%     385kB / 385kB     0B / 0B      8
48e73dd4ab5d   sectorizador        0.00%     23.45MiB / 3.823GiB   0.60%     83.4kB / 87.3kB   0B / 0B      4
c46f710821e4   cliente_atm         0.02%     23.61MiB / 3.823GiB   0.60%     11.9kB / 16.9kB   0B / 0B      1
cd6bfe45793d   kafka_ui            0.39%     238.7MiB / 3.823GiB   6.10%     44.7kB / 5.07kB   0B / 172kB   35
0802920a6c28   redis               0.99%     9.242MiB / 3.823GiB   0.24%     536kB / 154kB     0B / 0B      6
f29aad2c7381   mongodb             8.34%     84.61MiB / 3.823GiB   2.16%     356kB / 117kB     0B / 0B      36
f790aa9a62cf   kafka               232.48%   454.2MiB / 3.823GiB   11.60%    484kB / 592kB     0B / 238kB   128
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
860517acb542   productor           0.32%     211.3MiB / 3.823GiB   5.40%     4.95kB / 403kB    0B / 0B      2
40a7d96ff35d   cliente_historico   0.07%     25.61MiB / 3.823GiB   0.65%     10.4kB / 4.7kB    0B / 0B      4
886b94cdcddd   consumidor_redis1   0.41%     19.86MiB / 3.823GiB   0.51%     565kB / 890kB     0B / 0B      2
ed31fdfa6e8f   consumidor_mongo1   0.73%     31.16MiB / 3.823GiB   0.80%     628kB / 698kB     0B / 0B      8
48e73dd4ab5d   sectorizador        43.40%    23.63MiB / 3.823GiB   0.60%     206kB / 208kB     0B / 0B      4
c46f710821e4   cliente_atm         0.02%     23.61MiB / 3.823GiB   0.60%     13.2kB / 19kB     0B / 0B      1
cd6bfe45793d   kafka_ui            0.13%     238.7MiB / 3.823GiB   6.10%     44.8kB / 5.11kB   0B / 172kB   35
0802920a6c28   redis               10.17%    9.812MiB / 3.823GiB   0.25%     1.07MB / 341kB    0B / 0B      6
f29aad2c7381   mongodb             0.71%     86.89MiB / 3.823GiB   2.22%     667kB / 202kB     0B / 0B      36
f790aa9a62cf   kafka               258.88%   452.2MiB / 3.823GiB   11.55%    489kB / 910kB     0B / 238kB   128
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
860517acb542   productor           0.55%     211.3MiB / 3.823GiB   5.40%     4.95kB / 403kB    0B / 0B      2
40a7d96ff35d   cliente_historico   0.14%     25.61MiB / 3.823GiB   0.65%     10.8kB / 4.76kB   0B / 0B      4
886b94cdcddd   consumidor_redis1   0.38%     19.86MiB / 3.823GiB   0.51%     567kB / 892kB     0B / 0B      2
ed31fdfa6e8f   consumidor_mongo1   0.50%     31.16MiB / 3.823GiB   0.80%     630kB / 700kB     0B / 0B      8
48e73dd4ab5d   sectorizador        0.00%     23.63MiB / 3.823GiB   0.60%     206kB / 208kB     0B / 0B      4
c46f710821e4   cliente_atm         0.02%     23.62MiB / 3.823GiB   0.60%     14.5kB / 21.2kB   0B / 0B      1
cd6bfe45793d   kafka_ui            0.16%     238.7MiB / 3.823GiB   6.10%     44.8kB / 5.11kB   0B / 184kB   35
0802920a6c28   redis               0.66%     9.812MiB / 3.823GiB   0.25%     1.07MB / 341kB    0B / 0B      6
f29aad2c7381   mongodb             1.56%     87.16MiB / 3.823GiB   2.23%     667kB / 202kB     0B / 0B      36
f790aa9a62cf   kafka               289.46%   459.8MiB / 3.823GiB   11.75%    492kB / 914kB     0B / 238kB   131
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
860517acb542   productor           0.37%     211.3MiB / 3.823GiB   5.40%     6.07kB / 600kB    0B / 0B      2
40a7d96ff35d   cliente_historico   0.10%     25.61MiB / 3.823GiB   0.65%     11.2kB / 4.96kB   0B / 0B      4
886b94cdcddd   consumidor_redis1   0.38%     20.11MiB / 3.823GiB   0.51%     827kB / 1.31MB    0B / 0B      2
ed31fdfa6e8f   consumidor_mongo1   0.52%     31.21MiB / 3.823GiB   0.80%     920kB / 1.02MB    0B / 0B      8
48e73dd4ab5d   sectorizador        0.00%     23.63MiB / 3.823GiB   0.60%     206kB / 208kB     0B / 0B      4
c46f710821e4   cliente_atm         0.02%     23.62MiB / 3.823GiB   0.60%     15.8kB / 23.4kB   0B / 0B      1
cd6bfe45793d   kafka_ui            0.22%     238.7MiB / 3.823GiB   6.10%     44.8kB / 5.11kB   0B / 184kB   35
0802920a6c28   redis               0.77%     10.04MiB / 3.823GiB   0.26%     1.49MB / 403kB    0B / 0B      6
f29aad2c7381   mongodb             37.68%    89.73MiB / 3.823GiB   2.29%     986kB / 294kB     0B / 0B      36
f790aa9a62cf   kafka               238.86%   439MiB / 3.823GiB     11.22%    694kB / 1.31MB    0B / 238kB   146
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
860517acb542   productor           0.29%     211.3MiB / 3.823GiB   5.40%     6.07kB / 600kB    0B / 0B      2
40a7d96ff35d   cliente_historico   0.13%     25.61MiB / 3.823GiB   0.65%     11.6kB / 5.03kB   0B / 0B      4
886b94cdcddd   consumidor_redis1   4.46%     19.87MiB / 3.823GiB   0.51%     828kB / 1.31MB    0B / 0B      2
ed31fdfa6e8f   consumidor_mongo1   2.72%     31.22MiB / 3.823GiB   0.80%     922kB / 1.02MB    0B / 0B      8
48e73dd4ab5d   sectorizador        0.00%     23.82MiB / 3.823GiB   0.61%     374kB / 373kB     0B / 0B      4
c46f710821e4   cliente_atm         0.03%     23.63MiB / 3.823GiB   0.60%     17.1kB / 25.7kB   0B / 0B      1
cd6bfe45793d   kafka_ui            0.12%     240.8MiB / 3.823GiB   6.15%     44.8kB / 5.11kB   0B / 184kB   35
0802920a6c28   redis               9.29%     10.12MiB / 3.823GiB   0.26%     1.66MB / 572kB    0B / 0B      6
f29aad2c7381   mongodb             0.70%     89.79MiB / 3.823GiB   2.29%     986kB / 294kB     0B / 0B      36
f790aa9a62cf   kafka               184.64%   414.3MiB / 3.823GiB   10.58%    698kB / 1.32MB    0B / 238kB   127
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
860517acb542   productor           0.44%     211.3MiB / 3.823GiB   5.40%     7.2kB / 797kB     0B / 0B      2
40a7d96ff35d   cliente_historico   0.10%     25.62MiB / 3.823GiB   0.65%     12kB / 5.21kB     0B / 0B      4
886b94cdcddd   consumidor_redis1   0.31%     19.89MiB / 3.823GiB   0.51%     1.09MB / 1.74MB   0B / 0B      2
ed31fdfa6e8f   consumidor_mongo1   0.46%     31.78MiB / 3.823GiB   0.81%     1.21MB / 1.35MB   0B / 0B      8
48e73dd4ab5d   sectorizador        0.00%     23.82MiB / 3.823GiB   0.61%     374kB / 373kB     0B / 0B      4
c46f710821e4   cliente_atm         0.02%     23.63MiB / 3.823GiB   0.60%     18.5kB / 28kB     0B / 0B      1
cd6bfe45793d   kafka_ui            0.16%     240.8MiB / 3.823GiB   6.15%     44.8kB / 5.11kB   0B / 193kB   35
0802920a6c28   redis               0.56%     10.28MiB / 3.823GiB   0.26%     2.08MB / 634kB    0B / 0B      6
f29aad2c7381   mongodb             0.56%     92.04MiB / 3.823GiB   2.35%     1.31MB / 387kB    0B / 0B      36
f790aa9a62cf   kafka               62.28%    380.5MiB / 3.823GiB   9.72%     901kB / 1.71MB    0B / 238kB   108
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
860517acb542   productor           1.39%     211.3MiB / 3.823GiB   5.40%     7.2kB / 797kB     0B / 0B      2
40a7d96ff35d   cliente_historico   0.46%     25.62MiB / 3.823GiB   0.65%     12kB / 5.21kB     0B / 0B      4
886b94cdcddd   consumidor_redis1   10.91%    19.89MiB / 3.823GiB   0.51%     1.09MB / 1.74MB   0B / 0B      2
ed31fdfa6e8f   consumidor_mongo1   13.75%    31.78MiB / 3.823GiB   0.81%     1.21MB / 1.35MB   0B / 0B      8
48e73dd4ab5d   sectorizador        0.00%     24MiB / 3.823GiB      0.61%     582kB / 576kB     0B / 0B      4
c46f710821e4   cliente_atm         0.05%     23.64MiB / 3.823GiB   0.60%     19.8kB / 30.2kB   0B / 0B      1
cd6bfe45793d   kafka_ui            1.42%     240.9MiB / 3.823GiB   6.15%     55.8kB / 6.15kB   0B / 193kB   35
