CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
576d73694905   productor           0.32%     607.7MiB / 3.823GiB   15.53%    2.29kB / 823B     0B / 0B           2
86e5b18b605d   consumidor_mongo1   1.75%     29.5MiB / 3.823GiB    0.75%     31.8kB / 32.1kB   0B / 0B           8
1b21dbf752e2   consumidor_mongo3   1.00%     29.5MiB / 3.823GiB    0.75%     33.6kB / 34.1kB   0B / 0B           8
18b601d476db   cliente_historico   0.08%     25.62MiB / 3.823GiB   0.65%     10.1kB / 4.18kB   0B / 0B           4
b426a63bf272   consumidor_mongo2   0.84%     29.49MiB / 3.823GiB   0.75%     31.3kB / 31.3kB   0B / 0B           8
b5d110b43478   consumidor_redis1   0.45%     18.94MiB / 3.823GiB   0.48%     30.1kB / 36.6kB   0B / 0B           2
7056de128021   consumidor_mongo4   0.64%     29.51MiB / 3.823GiB   0.75%     33.8kB / 34.6kB   0B / 0B           8
16dcbc09ad82   cliente_atm         0.02%     23.58MiB / 3.823GiB   0.60%     9.19kB / 10kB     0B / 0B           1
ff5686d65dba   consumidor_redis3   0.68%     18.92MiB / 3.823GiB   0.48%     28.2kB / 33.2kB   0B / 0B           2
ef37e428e834   consumidor_redis2   2.16%     18.93MiB / 3.823GiB   0.48%     30kB / 34.4kB     0B / 0B           2
bf51a6f6f6dc   sectorizador        0.00%     23.24MiB / 3.823GiB   0.59%     12kB / 15.2kB     0B / 0B           4
fe7132683f7a   consumidor_redis4   4.96%     18.93MiB / 3.823GiB   0.48%     28.2kB / 34.1kB   0B / 0B           2
ae4604f656f1   kafka_ui            203.66%   211.9MiB / 3.823GiB   5.41%     2.55kB / 126B     1.08MB / 65.5kB   22
2a9eaf369eb1   redis               1.72%     8.324MiB / 3.823GiB   0.21%     28kB / 14.2kB     0B / 0B           6
f3357cf3b0c3   mongodb             9.39%     87.34MiB / 3.823GiB   2.23%     21.7kB / 28.1kB   455kB / 0B        51
63164fef332b   kafka               40.16%    385.5MiB / 3.823GiB   9.85%     258kB / 206kB     209kB / 238kB     106
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
576d73694905   productor           0.41%     607.7MiB / 3.823GiB   15.53%    2.29kB / 823B     0B / 0B           2
86e5b18b605d   consumidor_mongo1   0.65%     29.51MiB / 3.823GiB   0.75%     34.2kB / 34.2kB   0B / 0B           8
1b21dbf752e2   consumidor_mongo3   1.15%     29.52MiB / 3.823GiB   0.75%     36.6kB / 36.6kB   0B / 0B           8
18b601d476db   cliente_historico   0.25%     25.62MiB / 3.823GiB   0.65%     10.9kB / 4.45kB   0B / 0B           4
b426a63bf272   consumidor_mongo2   0.63%     29.5MiB / 3.823GiB    0.75%     34.2kB / 33.4kB   0B / 0B           8
b5d110b43478   consumidor_redis1   6.18%     18.95MiB / 3.823GiB   0.48%     32.1kB / 38.5kB   0B / 0B           2
7056de128021   consumidor_mongo4   0.76%     29.52MiB / 3.823GiB   0.75%     36.1kB / 36.6kB   0B / 0B           8
16dcbc09ad82   cliente_atm         0.02%     23.59MiB / 3.823GiB   0.60%     10.4kB / 12.2kB   0B / 0B           1
ff5686d65dba   consumidor_redis3   4.63%     18.93MiB / 3.823GiB   0.48%     30.3kB / 35.2kB   0B / 0B           2
ef37e428e834   consumidor_redis2   6.11%     18.93MiB / 3.823GiB   0.48%     31.8kB / 36.3kB   0B / 0B           2
bf51a6f6f6dc   sectorizador        0.00%     23.24MiB / 3.823GiB   0.59%     12kB / 15.2kB     0B / 0B           4
fe7132683f7a   consumidor_redis4   12.62%    18.93MiB / 3.823GiB   0.48%     30.3kB / 36.3kB   0B / 0B           2
ae4604f656f1   kafka_ui            133.57%   215.1MiB / 3.823GiB   5.50%     2.55kB / 126B     1.27MB / 65.5kB   22
2a9eaf369eb1   redis               11.89%    8.324MiB / 3.823GiB   0.21%     29.4kB / 15kB     0B / 0B           6
f3357cf3b0c3   mongodb             97.91%    145.6MiB / 3.823GiB   3.72%     22.7kB / 30.7kB   455kB / 0B        61
63164fef332b   kafka               168.11%   444.3MiB / 3.823GiB   11.35%    274kB / 222kB     303kB / 238kB     143
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
576d73694905   productor           0.32%     607.7MiB / 3.823GiB   15.53%    2.29kB / 823B     0B / 0B           2
86e5b18b605d   consumidor_mongo1   1.05%     29.51MiB / 3.823GiB   0.75%     36.7kB / 36.1kB   0B / 0B           8
1b21dbf752e2   consumidor_mongo3   0.47%     29.52MiB / 3.823GiB   0.75%     38.9kB / 38.6kB   0B / 0B           8
18b601d476db   cliente_historico   0.11%     25.62MiB / 3.823GiB   0.65%     10.9kB / 4.45kB   0B / 0B           4
b426a63bf272   consumidor_mongo2   0.65%     29.5MiB / 3.823GiB    0.75%     36.1kB / 35.1kB   0B / 0B           8
b5d110b43478   consumidor_redis1   10.43%    18.95MiB / 3.823GiB   0.48%     34kB / 40.2kB     0B / 0B           2
7056de128021   consumidor_mongo4   0.75%     29.52MiB / 3.823GiB   0.75%     38.8kB / 38.6kB   0B / 0B           8
16dcbc09ad82   cliente_atm         0.02%     23.59MiB / 3.823GiB   0.60%     11.7kB / 14.6kB   0B / 0B           1
ff5686d65dba   consumidor_redis3   8.69%     18.93MiB / 3.823GiB   0.48%     32.3kB / 37kB     0B / 0B           2
ef37e428e834   consumidor_redis2   10.78%    18.94MiB / 3.823GiB   0.48%     33.8kB / 38kB     0B / 0B           2
bf51a6f6f6dc   sectorizador        0.00%     23.25MiB / 3.823GiB   0.59%     12.9kB / 16.9kB   0B / 0B           4
fe7132683f7a   consumidor_redis4   9.77%     18.93MiB / 3.823GiB   0.48%     32.5kB / 38.3kB   0B / 0B           2
ae4604f656f1   kafka_ui            180.31%   250.9MiB / 3.823GiB   6.41%     2.55kB / 126B     1.85MB / 81.9kB   23
2a9eaf369eb1   redis               1.34%     8.324MiB / 3.823GiB   0.21%     32.4kB / 16.7kB   0B / 0B           6
f3357cf3b0c3   mongodb             0.83%     84.03MiB / 3.823GiB   2.15%     23kB / 31.8kB     455kB / 0B        45
63164fef332b   kafka               210.38%   492.7MiB / 3.823GiB   12.59%    288kB / 238kB     303kB / 238kB     156
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
576d73694905   productor           0.94%     607.7MiB / 3.823GiB   15.53%    2.29kB / 823B     0B / 0B           2
86e5b18b605d   consumidor_mongo1   0.71%     29.51MiB / 3.823GiB   0.75%     39kB / 38.1kB     0B / 0B           8
1b21dbf752e2   consumidor_mongo3   2.53%     29.53MiB / 3.823GiB   0.75%     41.8kB / 40.9kB   0B / 0B           8
18b601d476db   cliente_historico   0.25%     25.62MiB / 3.823GiB   0.65%     11.6kB / 4.7kB    0B / 0B           4
b426a63bf272   consumidor_mongo2   0.72%     29.5MiB / 3.823GiB    0.75%     38.8kB / 37.1kB   0B / 0B           8
b5d110b43478   consumidor_redis1   6.59%     18.96MiB / 3.823GiB   0.48%     36kB / 42.1kB     0B / 0B           2
7056de128021   consumidor_mongo4   2.15%     29.52MiB / 3.823GiB   0.75%     40.7kB / 40.3kB   0B / 0B           8
16dcbc09ad82   cliente_atm         11.44%    23.6MiB / 3.823GiB    0.60%     13kB / 16.9kB     0B / 0B           1
ff5686d65dba   consumidor_redis3   11.73%    18.93MiB / 3.823GiB   0.48%     34.2kB / 38.7kB   0B / 0B           2
ef37e428e834   consumidor_redis2   9.47%     18.94MiB / 3.823GiB   0.48%     35.7kB / 39.7kB   0B / 0B           2
bf51a6f6f6dc   sectorizador        0.00%     23.25MiB / 3.823GiB   0.59%     12.9kB / 16.9kB   0B / 0B           4
fe7132683f7a   consumidor_redis4   2.06%     19.18MiB / 3.823GiB   0.49%     34.2kB / 39.9kB   0B / 0B           7
ae4604f656f1   kafka_ui            88.28%    190.9MiB / 3.823GiB   4.88%     2.55kB / 126B     2.22MB / 81.9kB   23
