CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
a904fd02bd23   mongodb             91.51%    259.9MiB / 3.823GiB   6.64%     21.3kB / 27.1kB   150MB / 0B        56
ceb0d2ea3b2c   redis               22.90%    23.23MiB / 3.823GiB   0.59%     25.3kB / 12.8kB   16.5MB / 0B       6
7ee7bfcd070a   kafka               147.42%   434.4MiB / 3.823GiB   11.10%    287kB / 205kB     70.1MB / 238kB    110
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
40ee97484aba   productor           61.03%    839.1MiB / 3.823GiB   21.44%    2.42kB / 823B     2.43MB / 0B       2
df9b3263d5c5   consumidor_redis2   2.13%     21.21MiB / 3.823GiB   0.54%     33.9kB / 48.2kB   4.46MB / 0B       2
6e85ac607f95   consumidor_mongo3   4.46%     32.36MiB / 3.823GiB   0.83%     38.4kB / 47kB     4.35MB / 0B       14
52327ce982a8   consumidor_redis4   3.20%     18.94MiB / 3.823GiB   0.48%     33.5kB / 46.6kB   549kB / 0B        2
986f9a8d571d   cliente_atm         0.01%     28.04MiB / 3.823GiB   0.72%     8.77kB / 9.88kB   11MB / 0B         1
c7e7fefd2ff5   consumidor_redis1   2.83%     19.14MiB / 3.823GiB   0.49%     32.2kB / 43.4kB   1.61MB / 0B       2
419d1a66ad25   sectorizador        0.00%     40.52MiB / 3.823GiB   1.04%     12.2kB / 15.3kB   23.9MB / 0B       4
287dc782ef1b   consumidor_redis3   4.92%     18.89MiB / 3.823GiB   0.48%     33.8kB / 47.4kB   36.9kB / 0B       2
b46a6a7a11f6   consumidor_mongo2   24.88%    33.22MiB / 3.823GiB   0.85%     36.9kB / 44.9kB   5.43MB / 0B       8
5efedfa0f876   consumidor_mongo4   3.64%     31.91MiB / 3.823GiB   0.82%     38.2kB / 46.6kB   4.49MB / 0B       8
82a1fb9fe702   consumidor_mongo1   4.53%     32.79MiB / 3.823GiB   0.84%     40.1kB / 49kB     5.52MB / 0B       8
753b27d990ef   cliente_historico   0.19%     27.16MiB / 3.823GiB   0.69%     10.1kB / 4.18kB   7.18MB / 0B       4
530f4ddb2be4   kafka_ui            94.30%    107.8MiB / 3.823GiB   2.75%     2.34kB / 126B     52.8MB / 65.5kB   22
a904fd02bd23   mongodb             73.20%    291.7MiB / 3.823GiB   7.45%     21.8kB / 29kB     150MB / 0B        61
ceb0d2ea3b2c   redis               2.21%     23.23MiB / 3.823GiB   0.59%     28.2kB / 14.5kB   16.5MB / 0B       6
7ee7bfcd070a   kafka               182.42%   469.3MiB / 3.823GiB   11.99%    363kB / 246kB     70.1MB / 238kB    132
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
40ee97484aba   productor           194.18%   941MiB / 3.823GiB     24.04%    2.42kB / 823B     2.43MB / 0B       2
df9b3263d5c5   consumidor_redis2   0.95%     21.21MiB / 3.823GiB   0.54%     33.9kB / 48.2kB   4.46MB / 0B       2
6e85ac607f95   consumidor_mongo3   10.07%    31.78MiB / 3.823GiB   0.81%     38.8kB / 47.2kB   4.35MB / 0B       8
52327ce982a8   consumidor_redis4   0.81%     18.94MiB / 3.823GiB   0.48%     33.5kB / 46.6kB   549kB / 0B        2
986f9a8d571d   cliente_atm         0.04%     28.04MiB / 3.823GiB   0.72%     10kB / 12.1kB     11MB / 0B         1
c7e7fefd2ff5   consumidor_redis1   10.68%    19.14MiB / 3.823GiB   0.49%     32.2kB / 43.4kB   1.61MB / 0B       2
419d1a66ad25   sectorizador        0.00%     40.52MiB / 3.823GiB   1.04%     12.2kB / 15.3kB   23.9MB / 0B       4
287dc782ef1b   consumidor_redis3   6.36%     18.89MiB / 3.823GiB   0.48%     33.8kB / 47.4kB   36.9kB / 0B       2
b46a6a7a11f6   consumidor_mongo2   22.02%    33.23MiB / 3.823GiB   0.85%     38.9kB / 47.4kB   5.43MB / 0B       8
5efedfa0f876   consumidor_mongo4   19.00%    31.91MiB / 3.823GiB   0.82%     38.6kB / 46.8kB   4.49MB / 0B       8
82a1fb9fe702   consumidor_mongo1   3.75%     32.79MiB / 3.823GiB   0.84%     40.1kB / 49kB     5.52MB / 0B       8
753b27d990ef   cliente_historico   0.41%     27.16MiB / 3.823GiB   0.69%     10.9kB / 4.45kB   7.18MB / 0B       4
