CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
2410c119e440   redis               1.05%     8.316MiB / 3.823GiB   0.21%     41kB / 15.2kB     73.7kB / 0B   6
418757c50144   kafka               52.04%    390.7MiB / 3.823GiB   9.98%     145kB / 118kB     0B / 238kB    111
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
5c4b1b621068   productor           0.67%     210.7MiB / 3.823GiB   5.38%     2.67kB / 9.08kB   2.32MB / 0B   2
cced7653085d   cliente_historico   0.10%     25.62MiB / 3.823GiB   0.65%     9.26kB / 4.18kB   6.25MB / 0B   4
ab5a9941c874   cliente_atm         3.32%     23.61MiB / 3.823GiB   0.60%     9.39kB / 12.1kB   6.06MB / 0B   1
2e19e1c018bd   consumidor_mongo1   1.35%     29.52MiB / 3.823GiB   0.75%     34.8kB / 37.4kB   4.11MB / 0B   8
7bd861cf08c1   sectorizador        0.00%     23.27MiB / 3.823GiB   0.59%     14kB / 18kB       6.38MB / 0B   4
8261e05d2b61   consumidor_redis2   0.63%     18.98MiB / 3.823GiB   0.48%     39.4kB / 54kB     1.54MB / 0B   2
f20a3e50fea2   consumidor_mongo2   16.05%    29.93MiB / 3.823GiB   0.76%     47kB / 51.8kB     3.71MB / 0B   9
d2244dc0c39f   consumidor_redis1   3.42%     18.94MiB / 3.823GiB   0.48%     29.5kB / 37.3kB   2.75MB / 0B   2
9f5359063416   kafka_ui            172.29%   294.3MiB / 3.823GiB   7.52%     1.88kB / 126B     0B / 168kB    28
23ba0c1227d1   mongodb             1.31%     77.06MiB / 3.823GiB   1.97%     28.2kB / 23.4kB   0B / 0B       39
2410c119e440   redis               3.78%     8.336MiB / 3.823GiB   0.21%     46.7kB / 19.7kB   73.7kB / 0B   12
418757c50144   kafka               218.56%   461.9MiB / 3.823GiB   11.80%    153kB / 126kB     0B / 238kB    143
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
5c4b1b621068   productor           0.45%     211.5MiB / 3.823GiB   5.40%     3.81kB / 206kB    2.32MB / 0B   2
cced7653085d   cliente_historico   0.09%     25.62MiB / 3.823GiB   0.65%     10.1kB / 4.45kB   6.25MB / 0B   4
ab5a9941c874   cliente_atm         3.76%     23.61MiB / 3.823GiB   0.60%     10.9kB / 14.4kB   6.06MB / 0B   1
2e19e1c018bd   consumidor_mongo1   3.56%     29.52MiB / 3.823GiB   0.75%     36.7kB / 39.1kB   4.11MB / 0B   8
7bd861cf08c1   sectorizador        0.00%     23.27MiB / 3.823GiB   0.59%     14.1kB / 18kB     6.38MB / 0B   4
8261e05d2b61   consumidor_redis2   57.96%    19.83MiB / 3.823GiB   0.51%     303kB / 475kB     1.54MB / 0B   2
f20a3e50fea2   consumidor_mongo2   69.64%    30.82MiB / 3.823GiB   0.79%     282kB / 182kB     3.71MB / 0B   8
d2244dc0c39f   consumidor_redis1   2.27%     18.94MiB / 3.823GiB   0.48%     31.5kB / 39kB     2.75MB / 0B   2
9f5359063416   kafka_ui            127.34%   301.5MiB / 3.823GiB   7.70%     2.2kB / 490B      0B / 168kB    36
23ba0c1227d1   mongodb             39.19%    79.31MiB / 3.823GiB   2.03%     157kB / 60.2kB    0B / 0B       39
2410c119e440   redis               27.68%    9.098MiB / 3.823GiB   0.23%     466kB / 85.5kB    73.7kB / 0B   6
418757c50144   kafka               232.87%   506.3MiB / 3.823GiB   12.94%    357kB / 528kB     0B / 238kB    156
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
5c4b1b621068   productor           0.48%     211.5MiB / 3.823GiB   5.40%     3.81kB / 206kB    2.32MB / 0B   2
cced7653085d   cliente_historico   0.42%     25.62MiB / 3.823GiB   0.65%     10.1kB / 4.45kB   6.25MB / 0B   4
ab5a9941c874   cliente_atm         2.10%     23.62MiB / 3.823GiB   0.60%     12.2kB / 16.7kB   6.06MB / 0B   1
2e19e1c018bd   consumidor_mongo1   2.30%     29.53MiB / 3.823GiB   0.75%     39.6kB / 41.4kB   4.11MB / 0B   8
7bd861cf08c1   sectorizador        0.00%     23.46MiB / 3.823GiB   0.60%     84kB / 87.3kB     6.38MB / 0B   4
8261e05d2b61   consumidor_redis2   1.32%     19.83MiB / 3.823GiB   0.51%     305kB / 477kB     1.54MB / 0B   2
f20a3e50fea2   consumidor_mongo2   2.20%     30.86MiB / 3.823GiB   0.79%     338kB / 376kB     3.71MB / 0B   8
d2244dc0c39f   consumidor_redis1   3.35%     18.95MiB / 3.823GiB   0.48%     33.4kB / 40.9kB   2.75MB / 0B   2
9f5359063416   kafka_ui            157.53%   278.6MiB / 3.823GiB   7.12%     22.5kB / 3.07kB   0B / 168kB    36
23ba0c1227d1   mongodb             23.44%    87.56MiB / 3.823GiB   2.24%     349kB / 115kB     0B / 0B       52
2410c119e440   redis               1.78%     9.371MiB / 3.823GiB   0.24%     536kB / 156kB     73.7kB / 0B   6
418757c50144   kafka               207.68%   426.2MiB / 3.823GiB   10.89%    366kB / 552kB     0B / 238kB    121
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
5c4b1b621068   productor           18.37%    211.8MiB / 3.823GiB   5.41%     4.3kB / 363kB     2.32MB / 0B   2
cced7653085d   cliente_historico   0.11%     25.62MiB / 3.823GiB   0.65%     10.9kB / 4.7kB    6.25MB / 0B   4
ab5a9941c874   cliente_atm         3.23%     23.63MiB / 3.823GiB   0.60%     13.6kB / 18.9kB   6.06MB / 0B   1
2e19e1c018bd   consumidor_mongo1   42.22%    30.16MiB / 3.823GiB   0.77%     128kB / 53.8kB    4.11MB / 0B   8
7bd861cf08c1   sectorizador        0.00%     23.46MiB / 3.823GiB   0.60%     84kB / 87.3kB     6.38MB / 0B   4
8261e05d2b61   consumidor_redis2   34.21%    19.84MiB / 3.823GiB   0.51%     411kB / 644kB     1.54MB / 0B   2
f20a3e50fea2   consumidor_mongo2   39.74%    30.87MiB / 3.823GiB   0.79%     428kB / 391kB     3.71MB / 0B   8
d2244dc0c39f   consumidor_redis1   49.91%    19.34MiB / 3.823GiB   0.49%     138kB / 211kB     2.75MB / 0B   2
9f5359063416   kafka_ui            87.19%    277.5MiB / 3.823GiB   7.09%     33.8kB / 4.07kB   0B / 168kB    36
23ba0c1227d1   mongodb             86.99%    106.3MiB / 3.823GiB   2.72%     377kB / 135kB     0B / 0B       46
2410c119e440   redis               15.42%    9.934MiB / 3.823GiB   0.25%     872kB / 207kB     73.7kB / 0B   6
418757c50144   kafka               139.46%   430.9MiB / 3.823GiB   11.01%    530kB / 884kB     0B / 238kB    124
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
5c4b1b621068   productor           0.00%     211.8MiB / 3.823GiB   5.41%     4.3kB / 363kB     2.32MB / 0B   2
cced7653085d   cliente_historico   0.15%     25.62MiB / 3.823GiB   0.65%     10.9kB / 4.7kB    6.25MB / 0B   4
ab5a9941c874   cliente_atm         0.03%     23.63MiB / 3.823GiB   0.60%     13.6kB / 19kB     6.06MB / 0B   1
2e19e1c018bd   consumidor_mongo1   13.11%    30.45MiB / 3.823GiB   0.78%     158kB / 174kB     4.11MB / 0B   8
7bd861cf08c1   sectorizador        0.00%     23.62MiB / 3.823GiB   0.60%     196kB / 198kB     6.38MB / 0B   4
8261e05d2b61   consumidor_redis2   0.68%     19.84MiB / 3.823GiB   0.51%     412kB / 646kB     1.54MB / 0B   2
f20a3e50fea2   consumidor_mongo2   1.02%     30.87MiB / 3.823GiB   0.79%     455kB / 506kB     3.71MB / 0B   8
d2244dc0c39f   consumidor_redis1   11.82%    19.35MiB / 3.823GiB   0.49%     140kB / 213kB     2.75MB / 0B   2
9f5359063416   kafka_ui            0.55%     288.4MiB / 3.823GiB   7.37%     33.8kB / 4.07kB   0B / 184kB    36
23ba0c1227d1   mongodb             1.17%     81.11MiB / 3.823GiB   2.07%     605kB / 188kB     0B / 0B       39
2410c119e440   redis               12.27%    10.75MiB / 3.823GiB   0.27%     983kB / 320kB     872kB / 0B    6
418757c50144   kafka               368.25%   518MiB / 3.823GiB     13.23%    537kB / 891kB     0B / 238kB    152
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
5c4b1b621068   productor           18.39%    211.8MiB / 3.823GiB   5.41%     5.13kB / 598kB    2.32MB / 0B   2
cced7653085d   cliente_historico   0.24%     25.62MiB / 3.823GiB   0.65%     11.6kB / 4.96kB   6.25MB / 0B   4
ab5a9941c874   cliente_atm         0.02%     23.64MiB / 3.823GiB   0.60%     15.1kB / 21.2kB   6.06MB / 0B   1
2e19e1c018bd   consumidor_mongo1   83.37%    30.62MiB / 3.823GiB   0.78%     267kB / 215kB     4.11MB / 0B   8
7bd861cf08c1   sectorizador        0.00%     23.62MiB / 3.823GiB   0.60%     196kB / 198kB     6.38MB / 0B   4
8261e05d2b61   consumidor_redis2   67.11%    19.86MiB / 3.823GiB   0.51%     623kB / 978kB     1.54MB / 0B   2
f20a3e50fea2   consumidor_mongo2   71.58%    31.25MiB / 3.823GiB   0.80%     636kB / 575kB     3.71MB / 0B   8
d2244dc0c39f   consumidor_redis1   24.50%    19.67MiB / 3.823GiB   0.50%     246kB / 381kB     2.75MB / 0B   2
9f5359063416   kafka_ui            0.19%     288.4MiB / 3.823GiB   7.37%     33.8kB / 4.07kB   0B / 184kB    36
23ba0c1227d1   mongodb             54.37%    81.31MiB / 3.823GiB   2.08%     708kB / 236kB     0B / 0B       39
2410c119e440   redis               16.60%    11.04MiB / 3.823GiB   0.28%     1.48MB / 396kB    872kB / 0B    6
418757c50144   kafka               204.14%   396.6MiB / 3.823GiB   10.13%    783kB / 1.37MB    0B / 238kB    112
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
5c4b1b621068   productor           0.62%     211.8MiB / 3.823GiB   5.41%     5.13kB / 598kB    2.32MB / 0B   2
cced7653085d   cliente_historico   0.10%     25.62MiB / 3.823GiB   0.65%     11.6kB / 4.96kB   6.25MB / 0B   4
ab5a9941c874   cliente_atm         0.40%     23.64MiB / 3.823GiB   0.60%     16.4kB / 23.4kB   6.06MB / 0B   1
2e19e1c018bd   consumidor_mongo1   1.40%     30.72MiB / 3.823GiB   0.78%     276kB / 304kB     4.11MB / 0B   8
7bd861cf08c1   sectorizador        70.84%    23.89MiB / 3.823GiB   0.61%     364kB / 362kB     6.38MB / 0B   4
8261e05d2b61   consumidor_redis2   0.44%     19.86MiB / 3.823GiB   0.51%     625kB / 980kB     1.54MB / 0B   2
f20a3e50fea2   consumidor_mongo2   1.19%     31.26MiB / 3.823GiB   0.80%     688kB / 763kB     3.71MB / 0B   8
d2244dc0c39f   consumidor_redis1   0.48%     19.67MiB / 3.823GiB   0.50%     248kB / 383kB     2.75MB / 0B   2
9f5359063416   kafka_ui            22.62%    288.5MiB / 3.823GiB   7.37%     45.2kB / 5.11kB   0B / 184kB    36
23ba0c1227d1   mongodb             0.75%     84.7MiB / 3.823GiB    2.16%     985kB / 296kB     0B / 0B       39
2410c119e440   redis               13.88%    11.07MiB / 3.823GiB   0.28%     1.65MB / 565kB    872kB / 0B    6
418757c50144   kafka               326.68%   530.7MiB / 3.823GiB   13.56%    791kB / 1.39MB    0B / 238kB    147
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
5c4b1b621068   productor           24.93%    211.8MiB / 3.823GiB   5.41%     5.39kB / 755kB    2.32MB / 0B   2
cced7653085d   cliente_historico   0.09%     25.63MiB / 3.823GiB   0.65%     12.4kB / 5.21kB   6.25MB / 0B   4
ab5a9941c874   cliente_atm         0.04%     23.65MiB / 3.823GiB   0.60%     17.8kB / 25.7kB   6.06MB / 0B   1
2e19e1c018bd   consumidor_mongo1   0.89%     30.72MiB / 3.823GiB   0.78%     278kB / 306kB     4.11MB / 0B   8
7bd861cf08c1   sectorizador        0.00%     23.89MiB / 3.823GiB   0.61%     364kB / 362kB     6.38MB / 0B   4
8261e05d2b61   consumidor_redis2   13.94%    19.86MiB / 3.823GiB   0.51%     689kB / 982kB     1.54MB / 0B   2
f20a3e50fea2   consumidor_mongo2   9.68%     31.27MiB / 3.823GiB   0.80%     689kB / 764kB     3.71MB / 0B   8
d2244dc0c39f   consumidor_redis1   3.69%     19.67MiB / 3.823GiB   0.50%     250kB / 385kB     2.75MB / 0B   2
9f5359063416   kafka_ui            0.15%     288.5MiB / 3.823GiB   7.37%     45.2kB / 5.11kB   0B / 197kB    36
23ba0c1227d1   mongodb             3.50%     84.7MiB / 3.823GiB    2.16%     985kB / 297kB     0B / 0B       39
2410c119e440   redis               13.20%    11.09MiB / 3.823GiB   0.28%     1.65MB / 566kB    872kB / 0B    6
418757c50144   kafka               327.23%   434.5MiB / 3.823GiB   11.10%    954kB / 1.4MB     0B / 238kB    130
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
5c4b1b621068   productor           0.46%     211.8MiB / 3.823GiB   5.41%     5.77kB / 795kB    2.32MB / 0B   2
cced7653085d   cliente_historico   3.32%     25.63MiB / 3.823GiB   0.65%     12.4kB / 5.21kB   6.25MB / 0B   4
ab5a9941c874   cliente_atm         0.02%     23.66MiB / 3.823GiB   0.60%     19.1kB / 27.9kB   6.06MB / 0B   1
2e19e1c018bd   consumidor_mongo1   1.11%     30.75MiB / 3.823GiB   0.79%     394kB / 434kB     4.11MB / 0B   8
7bd861cf08c1   sectorizador        0.00%     23.89MiB / 3.823GiB   0.61%     364kB / 362kB     6.38MB / 0B   4
8261e05d2b61   consumidor_redis2   6.58%     19.86MiB / 3.823GiB   0.51%     786kB / 1.24MB    1.54MB / 0B   2
f20a3e50fea2   consumidor_mongo2   12.26%    31.27MiB / 3.823GiB   0.80%     864kB / 962kB     3.71MB / 0B   8
d2244dc0c39f   consumidor_redis1   1.30%     19.79MiB / 3.823GiB   0.51%     356kB / 551kB     2.75MB / 0B   2
9f5359063416   kafka_ui            0.32%     288.5MiB / 3.823GiB   7.37%     45.2kB / 5.11kB   0B / 197kB    36
23ba0c1227d1   mongodb             113.51%   141MiB / 3.823GiB     3.60%     1.31MB / 388kB    0B / 0B       54
2410c119e440   redis               1.55%     11.28MiB / 3.823GiB   0.29%     2.07MB / 632kB    872kB / 0B    6
418757c50144   kafka               304.64%   540.6MiB / 3.823GiB   13.81%    1MB / 1.8MB       0B / 238kB    172
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
5c4b1b621068   productor           41.38%    211.8MiB / 3.823GiB   5.41%     6.29kB / 874kB    2.32MB / 0B   2
cced7653085d   cliente_historico   1.58%     25.63MiB / 3.823GiB   0.65%     13.2kB / 5.54kB   6.25MB / 0B   4
